method,seed,run_dir,checkpoint,prototype_bank,best_val_auc,threshold,validation_f1,auc,pr_auc,f1,accuracy,precision,recall,group,k,alpha,beta,reused
no_prototype_logits,0,D:\luna16-work\runs\ablations\no_prototype_logits,D:\luna16-work\runs\ablations\no_prototype_logits\best_model.pth,D:\luna16-work\runs\experiments_v2\seed_0\prototype_bank\prototype_bank.pkl,0.9911776567856423,0.8316905498504639,0.9252336448598131,0.9946805789985167,0.987379422473835,0.9375,0.9758551307847082,0.9574468085106383,0.9183673469387755,component,3,0.0,0.05,False
no_contrastive_loss,0,D:\luna16-work\runs\experiments_v2\seed_0\pbip_lite,D:\luna16-work\runs\experiments_v2\seed_0\pbip_lite\best_model.pth,D:\luna16-work\runs\experiments_v2\seed_0\prototype_bank\prototype_bank.pkl,0.9918330308529946,0.2784741222858429,0.925764192139738,0.9950130428111095,0.9875852574992678,0.9178743961352657,0.96579476861167,0.8715596330275229,0.9693877551020408,component,3,0.3,0.0,True
k1,0,D:\luna16-work\runs\ablations\k1,D:\luna16-work\runs\ablations\k1\best_model.pth,D:\luna16-work\runs\ablations\prototype_bank_k1\prototype_bank.pkl,0.9912280701754386,0.8398653864860535,0.9252336448598131,0.9951409135082605,0.9877222157101035,0.9424083769633508,0.9778672032193159,0.967741935483871,0.9183673469387755,k,1,0.3,0.05,False
k3,0,D:\luna16-work\runs\experiments_v2\seed_0\pbip_contrast,D:\luna16-work\runs\experiments_v2\seed_0\pbip_contrast\best_model.pth,D:\luna16-work\runs\experiments_v2\seed_0\prototype_bank\prototype_bank.pkl,0.9914045170397258,0.8258681297302246,0.9252336448598131,0.9954222290419927,0.9882655511900087,0.9430051813471503,0.9778672032193159,0.9578947368421052,0.9285714285714286,k,3,0.3,0.05,True
k5,0,D:\luna16-work\runs\ablations\k5,D:\luna16-work\runs\ablations\k5\best_model.pth,D:\luna16-work\runs\ablations\prototype_bank_k5\prototype_bank.pkl,0.993572292800968,0.3553324043750763,0.927927927927928,0.9951409135082605,0.986170409041964,0.9494949494949495,0.9798792756539235,0.94,0.9591836734693877,k,5,0.3,0.05,False
beta_0.01,0,D:\luna16-work\runs\ablations\beta_0.01,D:\luna16-work\runs\ablations\beta_0.01\best_model.pth,D:\luna16-work\runs\experiments_v2\seed_0\prototype_bank\prototype_bank.pkl,0.9935470861060698,0.20599053800106049,0.9244444444444444,0.9948595979745283,0.98621246445661,0.9313725490196079,0.971830985915493,0.8962264150943396,0.9693877551020408,beta,3,0.3,0.01,False
beta_0.05,0,D:\luna16-work\runs\experiments_v2\seed_0\pbip_contrast,D:\luna16-work\runs\experiments_v2\seed_0\pbip_contrast\best_model.pth,D:\luna16-work\runs\experiments_v2\seed_0\prototype_bank\prototype_bank.pkl,0.9914045170397258,0.8258681297302246,0.9252336448598131,0.9954222290419927,0.9882655511900087,0.9430051813471503,0.9778672032193159,0.9578947368421052,0.9285714285714286,beta,3,0.3,0.05,True
beta_0.1,0,D:\luna16-work\runs\experiments_v2\beta_sweep\seed_0\beta_0.1,D:\luna16-work\runs\experiments_v2\beta_sweep\seed_0\beta_0.1\best_model.pth,D:\luna16-work\runs\experiments_v2\seed_0\prototype_bank\prototype_bank.pkl,0.9913541036499294,0.5782483220100403,0.9308755760368664,0.995831415272876,0.9884860686269368,0.9381443298969072,0.9758551307847082,0.9479166666666666,0.9285714285714286,beta,3,0.3,0.1,True
beta_0.2,0,D:\luna16-work\runs\ablations\beta_0.2,D:\luna16-work\runs\ablations\beta_0.2\best_model.pth,D:\luna16-work\runs\experiments_v2\seed_0\prototype_bank\prototype_bank.pkl,0.992967332123412,0.21846994757652283,0.9244444444444444,0.9945527083013657,0.9862795124579713,0.9306930693069307,0.971830985915493,0.9038461538461539,0.9591836734693877,beta,3,0.3,0.2,False
